source_row,halo_id,galaxy_id,kind,ra_gal,dec_gal,observed_redshift_gal,euclid_nisp_h,lm_halo,true_redshift_halo,conc_vir_halo,rs_halo,rvir_halo,hpix_29_nest,h_ab,x_arcmin,y_arcmin,pdz_sigma_log1pz,synthetic_t,synthetic_error_alias,population
34651,4442570512054,0,0,185.67314,61.730896,1.6711341,1.3516826e-29,11.382073,1.6748655,3.7164264,40.72378,151.34694,791685249791455021,23.57281319,-5.277856859,-2.58222,0.04626211543,0.9457038151,0,Other hosts
35228,4140510937863,0,0,185.84525,61.681057,1.0421335,4.970725e-29,11.675248,1.04283,3.8721268,48.1225,186.33643,791684681892229581,22.15895066,-0.3938741502,-5.57256,0.03389081825,0.7102407515,0,Other hosts
35913,4443590471658,4,1,185.74706,61.755318,1.8909383,9.273286e-30,11.823986,1.8879315,3.1602063,67.79257,214.23851,791685112824526531,23.98191586,-3.180221615,-1.1169,0.04984176381,0.8726002865,-1,Other hosts
37827,4443580402641,0,0,185.91443,61.68098,1.7894158,2.4897446e-29,11.671833,1.7863593,3.4897687,54.20363,189.15813,791661237522190433,22.909613,1.569253639,-5.57718,0.04045911377,0.7778440385,-1,Other hosts
37830,4443580445579,0,0,186.05339,61.737167,1.812832,1.4117787e-29,11.484739,1.8108573,5.019523,32.649124,163.88304,791664023914470800,23.52558344,5.512535477,-2.20596,0.04584885507,1.073318762,0,Other hosts
38079,3736400347358,0,0,185.93275,61.715572,0.27127528,6.1917077e-29,11.160631,0.26908255,6.6465087,17.214275,114.41483,791661500454381795,21.92047389,2.089122114,-3.50166,0.0318041465,0.239772716,0,Other hosts
38679,3939460590730,21,1,185.91417,61.676834,0.66967833,9.8285185e-30,12.248344,0.6677369,7.995184,35.131626,280.88382,791661236367684681,23.91877985,1.561875593,-5.82594,0.0492893237,0.5103448099,0,Other hosts
39122,4443580440931,0,0,185.65796,61.84021,1.8190898,2.9786168e-29,11.997662,1.8145137,8.836701,27.496199,242.97571,791688654813721897,22.71496341,-5.708621239,3.97662,0.03875592987,1.04197766,0,Other hosts
39629,4443590939291,0,0,185.83844,61.83168,1.9157741,2.1775259e-29,11.805104,1.913394,3.1196816,67.29523,209.93968,791688277878385649,23.05509168,-0.5871222023,3.46482,0.04173205217,1.12238554,0,Other hosts
41011,3736400369988,2741,1,185.9646,61.864365,0.2793044,9.1233245e-29,14.776993,0.2762364,4.352807,424.61133,1848.2512,791665628729941106,21.49961719,2.992932754,5.42592,0.02812165045,0.2734272557,0,Other hosts
