z,pi_reference
0.914,0.6583348741
0.918,0.6527044437
0.922,0.6432723399
0.926,0.6313636303
0.93,0.6183849196
0.934,0.6054941224
0.938,0.5935449664
0.942,0.5832579158
0.946,0.5754125945
0.95,0.5708717146
0.954,0.5704455678
0.958,0.5747189025
0.962,0.58398753
0.966,0.5982780206
0.97,0.6173295118
0.974,0.6404077491
0.978,0.6659304676
0.982,0.6911630414
0.986,0.7123585189
0.99,0.7256135512
0.994,0.7282297591
0.998,0.7199093437
1.002,0.7030391654
1.006,0.681782459
1.01,0.6604228064
1.014,0.6419013188
1.018,0.627285014
1.022,0.6162712767
1.026,0.6081633651
1.03,0.602595057
1.034,0.5996189499
1.038,0.5992711114
1.042,0.6010496931
1.046,0.603743968
1.05,0.6057837262
1.054,0.6058904437
1.058,0.6035977824
1.062,0.5992965283
1.066,0.5938323066
1.07,0.5879865879
1.074,0.5822415817
1.078,0.5769319725
1.082,0.5724947081
1.086,0.5694926398
1.09,0.5683701716
1.094,0.5692056612
1.098,0.5718275243
1.102,0.5762571627
1.106,0.5830747826
1.11,0.5932675531
1.114,0.6075395967
1.118,0.625519301
1.122,0.6454054743
1.126,0.6642670162
1.13,0.6787984595
1.134,0.6861865627
1.138,0.6848331541
1.142,0.6747973722
1.146,0.6578313948
1.15,0.6368983933
1.154,0.6152945252
1.158,0.5957281933
1.162,0.5797732457
1.166,0.5678652655
1.17,0.5597385295
1.174,0.5549457083
1.178,0.5531802146
1.182,0.554302578
1.186,0.5581090213
1.19,0.5640288729
1.194,0.5709397685
1.198,0.5772376665
1.202,0.5812211329
1.206,0.5816824514
1.21,0.5784217569
1.214,0.5723949136
1.218,0.5653616582
1.222,0.5591846504
1.226,0.5551285928
1.23,0.5534875963
1.234,0.5536582053
1.238,0.5545447237
1.242,0.5550301657
1.246,0.5542927067
1.25,0.551870824
1.254,0.5475344001
1.258,0.5411576984
1.262,0.5327452369
1.266,0.5226184339
1.27,0.5115498625
1.274,0.5006707708
1.278,0.4911156836
1.282,0.4836362992
1.286,0.4784403889
1.29,0.4753638156
1.294,0.4742413656
1.298,0.4751963968
1.302,0.4786065101
1.306,0.48468776
1.31,0.4929495784
1.314,0.5019111398
1.318,0.5094119722
1.322,0.513422621
1.326,0.5128891367
1.33,0.5080800693
1.334,0.50026354
1.338,0.4910067395
1.342,0.4815915635
1.346,0.4727962148
1.35,0.4649490843
1.354,0.4580055628
1.358,0.45156243
1.362,0.4449380516
1.366,0.4374330461
1.37,0.4287154907
1.374,0.4190831909
1.378,0.4093861662
1.382,0.4006206097
1.386,0.3934829966
1.39,0.3881777099
1.394,0.384608831
1.398,0.3827538026
1.402,0.3829048085
1.406,0.3856212931
1.41,0.3914349279
1.414,0.4005036108
1.418,0.4123627036
1.422,0.4258327592
1.426,0.4391087687
1.43,0.4500638429
1.434,0.4567629542
1.438,0.4580701102
1.442,0.4540746393
1.446,0.4461103462
1.45,0.4363217707
1.454,0.4269883071
1.458,0.4198767718
1.462,0.4158683687
1.466,0.4149261028
1.47,0.4163251299
1.474,0.4190062467
1.478,0.4218894475
1.482,0.4240443416
1.486,0.4247125511
1.49,0.42329656
1.494,0.4193997722
1.498,0.4129456497
1.502,0.404288018
1.506,0.3942098265
1.51,0.3838157812
1.514,0.3743702402
1.518,0.367125177
1.522,0.3631294471
1.526,0.3629973787
1.53,0.3666890747
1.534,0.3734046083
1.538,0.3817046146
1.542,0.3898813395
1.546,0.3964691299
1.55,0.4007156772
1.554,0.40280147
1.558,0.4036843985
1.562,0.4045648427
1.566,0.4061813849
1.57,0.4082786437
1.574,0.40954675
1.578,0.4081337139
1.582,0.4025114011
1.586,0.3922644678
1.59,0.3783916441
1.594,0.3629766357
1.598,0.3484342747
1.602,0.3367312983
1.606,0.3289329885
1.61,0.3251676322
1.614,0.3248817116
1.618,0.3271712484
1.622,0.3310403966
1.626,0.3355455745
1.63,0.3398595035
1.634,0.3433054386
1.638,0.3454080189
1.642,0.3459867223
1.646,0.3452409096
1.65,0.3437274336
1.654,0.3421523492
1.658,0.3410295449
1.662,0.3403983948
1.666,0.3397925369
1.67,0.3384901849
1.674,0.335904212
1.678,0.331873287
1.682,0.3267148554
1.686,0.3210566089
1.69,0.315587992
1.694,0.3108763682
1.698,0.3073038715
1.702,0.3050975692
1.706,0.3043626811
1.71,0.3050729907
1.714,0.30703074
1.718,0.3098648776
1.722,0.3131233439
1.726,0.3164419143
1.73,0.3196887423
1.734,0.3229757827
1.738,0.3265009172
1.742,0.3302921884
1.746,0.3340084895
1.75,0.3369085447
1.754,0.3380252443
1.758,0.3364661493
1.762,0.3317224803
1.766,0.3238805915
1.77,0.3136671935
1.774,0.3023167206
1.778,0.2913035936
1.782,0.2820161409
1.786,0.275470705
1.79,0.2721392106
1.794,0.2719267691
1.798,0.2742802022
1.802,0.278365536
1.806,0.2832471795
1.81,0.2880427357
1.814,0.2920438364
1.818,0.2948155573
1.822,0.2962622537
1.826,0.2966071382
1.83,0.2962691503
1.834,0.2956651671
1.838,0.2950338255
1.842,0.2943713762
1.846,0.2934936841
1.85,0.2921697326
1.854,0.2902506724
1.858,0.2877439024
1.862,0.2848214233
1.866,0.2817635395
1.87,0.2788608585
1.874,0.2763064103
1.878,0.2741428232
1.882,0.2722917251
1.886,0.2706333996
1.89,0.269081152
1.894,0.2676051444
1.898,0.2662111563
1.902,0.264917904
1.906,0.2637530466
1.91,0.262740832
1.914,0.2618767428
1.918,0.2610857844
1.922,0.2602091027
1.926,0.2590566931
1.93,0.257499342
1.934,0.2555521714
1.938,0.253377178
1.942,0.2511852692
1.946,0.2490897731
1.95,0.2470051314
1.954,0.2446769954
1.958,0.2418561817
1.962,0.2385250313
1.966,0.2350433249
1.97,0.2321040144
1.974,0.2305069873
1.978,0.2308473877
1.982,0.2332656445
1.986,0.2373736357
1.99,0.2423735207
1.994,0.2473019514
1.998,0.2512891757
2.002,0.2537292056
2.006,0.2543319654
2.01,0.2530882542
2.014,0.2501999094
2.018,0.2460203691
2.022,0.2410003611
2.026,0.2356256868
2.03,0.2303504929
2.034,0.2255296935
2.038,0.221376859
2.042,0.217946809
2.046,0.2151429402
2.05,0.2127645039
2.054,0.2105867248
2.058,0.2084569874
2.062,0.2063680356
2.066,0.2044700935
2.07,0.2030123853
2.074,0.2022321526
2.078,0.20223036
2.082,0.2028935142
2.086,0.2038919766
2.09,0.204770367
2.094,0.2050963762
2.098,0.204612126
2.102,0.2033313779
2.106,0.2015440727
2.11,0.1997220132
2.114,0.1983534088
2.118,0.1977719622
2.122,0.19805724
2.126,0.1990511541
2.13,0.2004643661
2.134,0.2020014813
2.138,0.2034157787
2.142,0.204490555
2.146,0.2050027484
2.15,0.2047480344
2.154,0.2036436112
2.158,0.2018269168
2.162,0.1996480281
2.166,0.1975257417
2.17,0.1957502586
2.174,0.1943585239
2.178,0.1931753871
2.182,0.1919851103
2.186,0.1907201775
2.19,0.1895350923
2.194,0.1887244544
2.198,0.1885416162
2.202,0.1890453456
2.206,0.1900624892
2.21,0.1912870956
2.214,0.1924377386
2.218,0.193379349
